payment_id,subscription_id,amount,payment_date
201,101,5299.99,26-06-2023
202,102,3.99,05-06-2023
203,102,3.99,05-07-2023
204,103,548.99,10-05-2023
205,103,548.99,09-06-2023
206,103,548.99,09-07-2023
207,104,31.99,16-07-2023
208,105,13.99,27-06-2023
209,106,1999,04-07-2023
210,107,37.99,12-07-2023
211,108,4.49,27-07-2023
212,109,4.99,17-07-2023
213,110,5299.99,22-06-2023
214,111,4.49,11-06-2023
215,111,4.49,11-07-2023
216,112,548.99,05-06-2023
217,112,548.99,05-07-2023
218,113,24.99,05-06-2023
219,114,1199,06-05-2023
220,115,548.99,10-06-2023
221,115,548.99,10-07-2023
222,116,3899,07-06-2023
223,117,548.99,09-07-2023
224,118,1999,30-07-2023
225,119,2749.99,30-06-2023
226,120,42.99,12-05-2023
227,121,19.99,31-07-2023
228,122,1539.99,17-05-2023
229,123,5299.99,14-06-2023
230,124,47.99,18-07-2023
231,125,2749.99,02-05-2023
232,126,10.99,21-05-2023
233,127,4.49,11-06-2023
234,127,4.49,11-07-2023
235,128,42.99,07-07-2023
236,129,499,28-07-2023
237,130,3899,28-06-2023
238,131,31.99,25-07-2023
239,132,4.49,09-07-2023
240,133,548.99,19-07-2023
241,134,499,02-05-2023
242,134,499,01-06-2023
243,134,499,01-07-2023
244,134,499,31-07-2023
245,135,1999,02-05-2023
246,136,31.99,17-07-2023
247,137,1999,24-07-2023
248,138,17.99,25-05-2023
249,139,12.49,24-06-2023
250,140,1999,26-06-2023
251,141,1539.99,06-07-2023
252,142,4.99,02-07-2023
253,143,10.99,26-06-2023
254,144,59.99,03-06-2023
255,145,47.99,08-07-2023
256,146,4.99,16-06-2023
257,146,4.99,16-07-2023
258,147,31.99,14-05-2023
259,148,4.99,18-05-2023
260,148,4.99,17-06-2023
261,148,4.99,17-07-2023
262,149,1999,01-06-2023
263,150,31.99,11-06-2023
264,151,17.99,12-05-2023
265,152,4.99,22-05-2023
266,152,4.99,21-06-2023
267,152,4.99,21-07-2023
268,153,1199,28-06-2023
269,154,22.49,14-05-2023
270,155,59.99,02-07-2023
271,156,4.49,21-06-2023
272,156,4.49,21-07-2023
273,157,31.99,25-05-2023
274,158,1539.99,30-05-2023
275,159,2749.99,15-07-2023
276,160,1199,26-07-2023
277,161,24.99,22-05-2023
278,162,4.49,18-07-2023
279,163,17.99,02-05-2023
280,163,17.99,31-07-2023
281,164,1999,29-05-2023
282,165,24.99,21-05-2023
283,166,19.99,12-06-2023
284,167,6.49,29-05-2023
285,167,6.49,28-06-2023
286,167,6.49,28-07-2023
287,168,548.99,14-05-2023
288,168,548.99,13-06-2023
289,168,548.99,13-07-2023
290,169,3899,17-05-2023
291,170,1999,19-06-2023
292,172,24.99,03-05-2023
293,173,59.99,15-06-2023
294,174,42.99,13-05-2023
295,175,24.99,26-07-2023
296,176,5299.99,26-05-2023
297,177,5299.99,29-07-2023
298,178,17.99,22-07-2023
299,179,499,27-07-2023
300,180,47.99,28-07-2023
301,181,548.99,23-07-2023
302,182,12.49,22-05-2023
303,183,499,19-06-2023
304,183,499,19-07-2023
305,184,548.99,14-06-2023
306,184,548.99,14-07-2023
307,185,12.49,30-07-2023
308,186,10.99,09-06-2023
309,187,10.99,30-05-2023
310,188,24.99,21-07-2023
311,189,13.99,30-07-2023
312,190,31.99,14-06-2023
313,191,22.49,22-07-2023
314,192,3899,21-07-2023
315,193,3899,06-07-2023
316,194,6.49,31-05-2023
317,194,6.49,30-06-2023
318,194,6.49,30-07-2023
319,195,59.99,25-06-2023
320,196,47.99,22-05-2023
321,197,548.99,21-05-2023
322,197,548.99,20-06-2023
323,197,548.99,20-07-2023
324,198,3899,20-07-2023
325,199,4.49,26-05-2023
326,199,4.49,25-06-2023
327,199,4.49,25-07-2023
328,200,1199,05-05-2023
329,201,1199,07-05-2023
330,202,59.99,23-06-2023
331,203,548.99,16-06-2023
332,203,548.99,16-07-2023
333,204,47.99,23-06-2023
334,205,548.99,07-07-2023
335,206,6.49,13-05-2023
336,206,6.49,12-06-2023
337,206,6.49,12-07-2023
