trade_id,client_id,salesperson_id,trade_date,facevalue,actual_revenue,churn_date
1,116,16,31-07-2023,881811,477530,11-08-2023
2,92,71,15-05-2023,733631,750452,
3,539,38,26-05-2023,507734,523856,
4,386,18,27-05-2023,558857,566600,
5,65,2,25-01-2023,735998,458296,14-07-2023
6,179,71,06-05-2023,76832,98695,
7,112,50,05-07-2023,341346,343475,
8,35,13,12-06-2023,653809,657840,
9,120,57,23-06-2023,854844,873868,
10,719,40,29-03-2023,618069,293692,12-04-2023
11,640,61,03-01-2023,132470,136771,
12,448,48,02-07-2023,878993,902239,
13,141,37,27-05-2023,354746,368327,
14,239,34,25-02-2023,728165,732250,
15,35,61,13-03-2023,946997,229909,29-07-2023
16,331,54,29-06-2023,742580,760797,
17,8,58,31-03-2023,264986,280706,
18,130,19,11-07-2023,199342,192520,08-08-2023
19,140,17,13-05-2023,508847,552929,
20,559,61,11-08-2023,991867,804808,11-08-2023
21,454,65,21-03-2023,441202,473919,
22,132,29,28-05-2023,407853,416430,
23,157,38,24-06-2023,399886,408735,
24,79,62,15-05-2023,130748,163328,
25,315,27,02-08-2023,307421,317961,
26,714,69,15-07-2023,271995,272243,
27,48,52,25-07-2023,897169,899052,
28,589,44,18-11-2022,121173,129536,
29,4,33,15-06-2023,527746,562241,
30,49,66,31-05-2023,566423,611085,
31,103,8,19-04-2023,302272,345870,
32,715,66,30-06-2023,378863,375803,20-07-2023
33,260,60,23-03-2023,920435,937249,
34,544,66,15-07-2023,82485,145975,
35,155,43,14-03-2023,611661,458166,15-05-2023
36,588,60,20-07-2023,891467,900623,
37,354,60,24-05-2023,931217,932874,
38,539,33,03-08-2023,85137,99098,
39,739,18,07-08-2023,69955,128625,
40,83,64,19-03-2023,77113,96727,
41,727,53,19-06-2023,251311,263003,
42,589,73,08-08-2023,515871,143608,08-08-2023
43,219,63,10-04-2023,726242,744549,
44,117,1,20-07-2023,290980,311483,
45,538,3,18-02-2023,607275,628975,
46,162,17,28-07-2023,163608,222074,
47,706,46,03-06-2023,389922,419151,
48,142,58,08-06-2023,754825,325881,23-06-2023
49,525,35,15-05-2023,652679,383552,03-06-2023
50,624,1,17-02-2023,151726,197910,
51,616,14,29-07-2023,988345,1004126,
52,118,7,28-06-2023,249994,265469,
53,603,42,14-06-2023,363164,406468,
54,109,53,30-05-2023,167695,232040,
55,692,7,08-07-2023,723661,690907,11-08-2023
56,92,46,06-04-2023,107493,131535,
57,387,60,18-02-2023,487377,501515,
58,730,33,31-05-2023,813930,828062,
59,247,28,04-08-2023,238320,262473,
60,86,29,01-05-2023,794120,804078,
61,385,20,24-06-2023,735820,755605,
62,410,25,24-04-2023,352046,362256,
63,275,1,28-05-2023,810055,814701,
64,68,23,08-02-2023,414719,427383,
65,125,12,04-08-2023,247491,299049,
66,353,61,11-10-2022,711129,146106,22-06-2023
67,287,32,25-05-2023,940829,959066,
68,383,36,16-02-2023,856373,448149,03-06-2023
69,678,5,29-07-2023,362377,396158,
70,698,40,17-05-2023,894610,901044,
71,221,62,03-07-2023,149454,149499,
72,574,51,14-07-2023,666742,692006,
73,195,70,11-01-2023,55661,98856,
74,74,46,18-07-2023,60752,113301,
75,159,29,27-05-2023,247869,252902,
76,526,15,23-03-2023,798639,812397,
77,632,30,31-07-2023,601728,627380,
78,254,44,14-07-2023,466249,275820,18-07-2023
79,61,2,15-07-2023,503994,306122,27-07-2023
80,575,13,10-06-2023,890040,552540,17-07-2023
81,732,10,23-06-2023,893684,431950,08-08-2023
82,326,51,02-01-2023,930161,946462,
83,615,67,24-02-2023,705430,464764,03-03-2023
84,412,21,12-07-2023,783532,405658,05-08-2023
85,627,73,10-08-2023,101922,107422,
86,141,20,30-05-2023,323710,332903,
87,419,36,05-02-2023,739332,761489,
88,257,60,17-06-2023,480336,227555,25-07-2023
89,351,4,15-05-2023,701897,232394,17-06-2023
90,185,58,05-08-2023,114166,111327,11-08-2023
91,231,7,27-04-2023,467624,279237,04-07-2023
92,197,5,24-02-2023,137504,156987,
93,428,4,01-08-2023,398317,401707,
94,452,69,19-06-2023,563966,573795,
